data_year,victim_id,offense_id
2024,208347337,222802338
2024,208347338,222802339
2024,208347339,222802340
2024,208347340,222802341
2024,208347341,222802342
2024,214143690,228616464
2024,210068179,224542606
2024,210068180,224542607
2024,212062366,226530946
2024,214143692,228616466
2024,214143694,228616468
2024,214143695,228616469
2024,214143697,228616471
2024,214143698,228616472
2024,214143700,228616474
2024,215321984,229800658
2024,219390809,233864647
2024,219390810,233864648
2024,219390810,233864649
2024,219390811,233864650
2024,219390812,233864651
2024,219390813,233864652
2024,219390814,233864653
2024,219390815,233864654
2024,219390816,233864655
2024,219390817,233864656
2024,219390818,233864657
2024,219390819,233864658
2024,219390820,233864659
2024,219390821,233864659
2024,219390822,233864660
2024,219390823,233864661
2024,219390824,233864662
2024,221160491,235637467
2024,221160493,235637469
2024,221160494,235637470
2024,223103690,237567876
2024,223103691,237567877
2024,223103692,237567878
2024,225162241,239621013
2024,225162242,239621014
2024,225162243,239621015
2024,225162244,239621016
2024,225162245,239621017
2024,225162246,239621018
2024,225162247,239621019
2024,229464662,243924362
2024,206485827,220930155
2024,206485828,220930156
2024,206485829,220930157
2024,206485830,220930158
2024,206485831,220930159
2024,206485832,220930160
2024,206485833,220930161
2024,206485834,220930161
2024,206485835,220930162
2024,206485836,220930163
2024,206485837,220930164
2024,206485838,220930165
2024,206485839,220930165
2024,206485840,220930166
2024,206485841,220930167
2024,206485841,220930168
2024,206485842,220930169
2024,206485843,220930170
2024,206485844,220930171
2024,206485845,220930172
2024,206485846,220930173
2024,206485846,220930174
2024,206485847,220930175
2024,206485848,220930176
2024,206485849,220930177
2024,206485850,220930178
2024,206485851,220930179
2024,206485852,220930180
2024,206485853,220930181
2024,206485854,220930182
2024,206485858,220930185
2024,206485859,220930186
2024,206485860,220930187
2024,206485861,220930188
2024,206485862,220930188
2024,206485863,220930188
2024,206485865,220930190
2024,206485866,220930191
2024,206485867,220930192
2024,206485868,220930193
2024,206485869,220930194
2024,206485870,220930195
2024,206485871,220930196
2024,206485872,220930197
2024,206485873,220930198
2024,206485874,220930199
2024,206485875,220930200
2024,206485876,220930201
2024,206485877,220930201
2024,206485878,220930202
2024,206485879,220930203
2024,206485879,220930204
2024,206485880,220930205
2024,206485880,220930206
2024,206485881,220930205
2024,206485881,220930206
2024,206485882,220930207
2024,206485882,220930208
2024,206485883,220930209
2024,206485883,220930210
2024,206485884,220930211
2024,206485886,220930215
2024,206485887,220930214
2024,206485888,220930216
2024,206485889,220930217
2024,206485890,220930218
2024,206485891,220930219
2024,206485892,220930220
2024,206485893,220930220
2024,206485894,220930221
2024,206485895,220930222
2024,206485896,220930223
2024,206485897,220930224
2024,206485898,220930224
2024,206485899,220930225
2024,206485900,220930226
2024,206485901,220930227
2024,206485902,220930228
2024,206485903,220930229
2024,206485904,220930230
2024,206485905,220930231
2024,206485906,220930232
2024,206485907,220930233
2024,206485908,220930234
2024,206485909,220930235
2024,206485910,220930236
2024,206485911,220930237
2024,206485912,220930238
2024,206485913,220930239
2024,206485913,220930240
2024,206485914,220930241
2024,206485914,220930242
2024,206485915,220930243
2024,206485916,220930244
2024,206485917,220930244
2024,206485918,220930245
2024,206485919,220930246
2024,206485920,220930246
2024,206485921,220930247
2024,206485921,220930248
2024,206485922,220930249
2024,206485924,220930251
2024,206485925,220930252
2024,206485926,220930253
2024,206485927,220930254
2024,206485928,220930255
2024,206485929,220930256
2024,206485930,220930257
2024,206485931,220930258
2024,206485932,220930259
2024,206485933,220930260
2024,206485934,220930261
2024,206485935,220930262
2024,206485936,220930263
2024,206485937,220930264
2024,206485938,220930264
2024,206485939,220930265
2024,206485940,220930266
2024,206485942,220930268
2024,206485942,220930269
2024,206485943,220930268
2024,206485943,220930269
