data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,208442389,213357688,26,
2024,208442390,213357689,21,
2024,208442391,213357690,17,
2024,208442392,213357691,19,
2024,208442395,213357693,17,
2024,208442400,213357698,18,
2024,208442400,213357699,18,
2024,208442403,213357702,1,
2024,205718453,210653849,21,
2024,205718455,210653851,8,
2024,205718456,210653851,1,
2024,205718457,210653852,16,
2024,205718458,210653853,3,
2024,205718459,210653854,17,
2024,205718465,210653861,18,
2024,205718467,210653863,18,
2024,205718467,210653864,18,
2024,205718467,210653865,18,
2024,207822710,212741265,16,
2024,207822712,212741267,5,
2024,207822712,212741268,5,
2024,207822713,212741267,5,
2024,207822713,212741268,5,
2024,205718472,210653869,5,
2024,205718473,210653869,10,
2024,205718474,210653870,18,
2024,213370397,218247285,18,
2024,205718477,210653873,18,
2024,205718482,210653878,24,
2024,205718482,210653879,24,
2024,205718482,210653880,24,
2024,205718483,210653881,18,
2024,205718485,210653881,18,
2024,211422076,216308800,4,
2024,205718487,210653883,24,
2024,205718488,210653884,21,
2024,205718489,210653885,11,
2024,205718492,210653888,18,
2024,205718493,210653889,3,
2024,205718494,210653890,18,
2024,205718495,210653891,18,
2024,209784092,214685658,16,
2024,209784093,214685658,16,
2024,205718500,210653898,18,
2024,205718501,210653899,21,
2024,205718504,210653902,24,
2024,205718508,210653906,18,
2024,205718509,210653907,18,
2024,205718510,210653907,18,
2024,205718511,210653907,18,
2024,207822718,212741273,1,
2024,205718515,210653911,18,
2024,205718516,210653912,18,
2024,205718517,210653913,3,
2024,205718518,210653914,18,
2024,207822719,212741274,18,
2024,207822719,212741275,18,
2024,205718519,210653915,1,
2024,205718521,210653917,18,
2024,205718522,210653918,1,
2024,205718523,210653919,21,
2024,205718525,210653921,18,
2024,205718526,210653922,18,
2024,207822721,212741277,24,
2024,205718527,210653923,18,
2024,215085148,219950538,16,
2024,205718530,210653925,18,
2024,205718531,210653926,18,
2024,205718534,210653929,18,
2024,205718538,210653931,24,
2024,205718538,210653932,24,
2024,205718540,210653934,16,
2024,205718542,210653936,18,
2024,205718545,210653938,11,
2024,205718547,210653940,18,
2024,205718549,210653942,3,
2024,207822726,212741281,18,
2024,205718551,210653945,18,
2024,207822727,212741282,18,
2024,207822727,212741283,18,
2024,207822727,212741284,18,
2024,207822727,212741285,18,
2024,205718555,210653947,20,
2024,205718558,210653949,24,
2024,207822732,212741287,17,
2024,208442407,213357706,26,
2024,208442408,213357707,18,
2024,208442409,213357707,18,
2024,208442411,213357709,17,
2024,208442412,213357710,21,
2024,208442417,213357714,18,
2024,208442418,213357714,18,
2024,208442420,213357716,17,
2024,208442422,213357718,17,
2024,208442423,213357719,16,
2024,208442429,213357725,10,
2024,208442433,213357729,24,
2024,208442434,213357729,24,
2024,208442436,213357731,3,
2024,208442442,213357737,16,
2024,210063807,214966568,1,
2024,210063808,214966568,1,
2024,208442449,213357744,24,
2024,210063811,214966571,19,
2024,208442457,213357751,9,
2024,210063812,214966572,18,
2024,210063813,214966573,18,
2024,210063817,214966577,18,
2024,210063817,214966578,18,
2024,208442475,213357770,24,
2024,208442481,213357778,17,
2024,208442483,213357780,18,
2024,208442490,213357787,21,
2024,208442491,213357788,21,
2024,208442495,213357791,26,
2024,208442505,213357802,18,
2024,208442507,213357804,17,
2024,208442508,213357805,17,
2024,208442510,213357807,14,
2024,208442514,213357811,11,
2024,208442515,213357811,24,
2024,208442522,213357817,18,
2024,208442541,213357835,26,
2024,208442546,213357839,16,
2024,208442551,213357844,1,
2024,208442562,213357855,15,
2024,208442564,213357857,16,
2024,208442565,213357858,18,
2024,208442568,213357863,1,
2024,208442573,213357868,13,
2024,208442578,213357873,11,
2024,210063828,214966589,15,
2024,208442587,213357881,16,
2024,208442588,213357882,3,
2024,208442591,213357885,15,
2024,208442592,213357885,18,
2024,208442597,213357893,24,
2024,208442597,213357894,24,
2024,208442604,213357901,3,
2024,210063831,214966592,18,
2024,210063833,214966594,16,
2024,210063837,214966598,15,
2024,210063838,214966599,26,
2024,210063839,214966600,3,
2024,210063840,214966601,7,
2024,210063842,214966603,24,
2024,210063843,214966604,17,
2024,210063845,214966606,26,
