data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2024,180138638,3,1,2024-01-23,
2024,181613641,63,1,,
2024,181613642,63,1,,
2024,180138358,27,500,,
2024,180138359,63,400,,
2024,180138360,19,19,,
2024,180138362,42,30,,
2024,180138363,38,15,,
2024,180138364,38,825,,
2024,180138365,63,1,,
2024,180138366,6,10,,
2024,180138366,16,140,,
2024,180138366,17,1,,
2024,180138366,25,800,,
2024,180138366,27,100,,
2024,180138366,51,0,,
2024,180138366,63,40,,
2024,180138367,30,200,,
2024,180138383,42,400,,
2024,180138384,63,1800,,
2024,180138385,24,1211,,
2024,180138386,3,1000,,
2024,180138388,28,1228,,
2024,180138390,63,3,,
2024,181613645,63,9527,,
2024,180138393,6,80,,
2024,180138393,20,20,,
2024,180138394,63,1,,
2024,180138396,63,1,,
2024,180138397,38,1,2024-01-25,
2024,180138398,38,1,,
2024,180138399,20,800,,
2024,180138399,61,50,,
2024,180138402,38,250,,
2024,180138404,63,150,,
2024,181613646,63,1,,
2024,181613647,63,3000,,
2024,180138410,51,0,,
2024,180138410,63,1,,
2024,181613649,63,1,,
2024,180138414,2,42,,
2024,180138414,41,42,,
2024,181613650,63,1,,
2024,181613652,63,120,,
2024,181613653,63,0,,
2024,180138422,26,140,,
2024,180138425,63,1,,
2024,180138426,24,12000,,
2024,181613654,10,,,
2024,180138428,20,12600,,
2024,181613655,63,1,,
2024,180138430,16,14,,
2024,180138431,38,1500,,
2024,180138432,3,6000,,
2024,181613656,38,200,,
2024,181613657,10,,,
2024,181613658,63,1,,
2024,181613659,10,,,
2024,189555505,3,1,,
2024,181613662,63,100,,
2024,181613663,63,1,,
2024,181613664,3,10000,,
2024,181613664,25,100,,
2024,181613666,63,1000,,
2024,181613667,63,1,,
2024,185650153,36,353,,
2024,185650153,51,0,,
2024,185650153,63,1181,,
2024,181613669,3,100,,
2024,181613670,63,4000,,
2024,181613672,9,0,,
2024,181613672,25,80,,
2024,181613673,16,20,,
2024,181613674,10,,,
2024,181613675,63,1,,
2024,181613676,10,,,
2024,181613677,3,1,,
2024,181613678,64,1000,,
2024,181613679,3,500,,
2024,181613680,3,250,,
2024,181613682,63,1,,
2024,181613683,7,1200,2024-02-06,
2024,181613684,6,300,,
2024,181613684,7,1890,,
2024,181613684,16,1,,
2024,181613685,63,1,,
2024,182833358,63,1,,
2024,181613687,63,1,,
2024,181613688,16,40,,
2024,181613688,61,1400,,
2024,181613689,27,800,,
2024,181613689,36,3000,,
2024,181613689,54,1200,,
2024,181613690,3,800,,
2024,181613690,38,800,,
2024,181613691,7,300,,
2024,181613691,63,550,,
2024,181613692,7,1,,
2024,181613692,63,260,,
2024,181613693,35,50,,
2024,181613694,38,1200,,
2024,181613695,63,1,,
2024,181613696,61,200,,
2024,181613697,61,689,,
2024,181613699,3,1,,
2024,181613700,10,,,
2024,181613701,63,875,,
2024,181613702,6,5,,
2024,181613702,8,6,,
2024,181613702,63,14,,
2024,181613703,63,1,,
2024,181613706,3,250,,
2024,181613707,16,1400,,
2024,181613707,63,60,,
2024,181613708,3,1,,
2024,181613709,64,130,,
2024,181613710,38,500,,
2024,181613712,3,1,,
2024,181613714,3,1000,,
2024,181613715,20,6000,,
2024,181613715,63,1,,
2024,181613716,36,620,,
2024,181613717,63,1,,
2024,181613719,13,64000,,
2024,181613720,38,1,,
2024,181613722,42,50,,
2024,181613722,54,100,,
2024,181613723,38,2530,,
2024,181613724,63,10,,
2024,181613724,64,1000,,
2024,181613727,29,1,,
2024,181613728,63,100,,
2024,181613729,38,150,,
2024,181613730,46,2720,,
2024,181613731,10,,,
2024,181613733,63,1,,
2024,181613734,8,50,,
2024,181613735,63,1,,
2024,181613736,10,,,
2024,181613737,63,350,,
2024,181613738,20,50,,
2024,181613739,20,180,,
2024,181156605,63,5000,,
2024,181156607,3,1,,
2024,181156608,20,1020,,
2024,181156610,10,,,
2024,181156610,11,1,,
2024,181156612,3,1,,
2024,181156613,33,200,,
2024,183824105,10,,,
2024,181156614,63,50,,
2024,181156617,3,1,2024-02-05,
2024,181156617,38,1,2024-02-05,
2024,181156619,63,30,,
2024,181156621,26,150,,
2024,181156622,11,1,,
2024,181156624,24,1,2024-02-05,
2024,181156625,63,1000,,
2024,181156626,47,0,,
2024,181156628,3,1,,
2024,181156628,35,484,,
2024,181156629,38,3018,,
2024,181156630,63,1,,
2024,181156632,19,165,,
2024,181156633,6,49,,
2024,181156635,19,1,,
2024,181156637,3,1,2024-02-06,
2024,181156638,52,0,,
2024,181156639,3,200,,
2024,181156640,8,1,,
2024,181156640,13,1,,
2024,181156640,25,1,,
2024,182624345,20,4600,,
2024,181156642,24,1,2024-02-07,
2024,181156643,10,,,
2024,181156644,10,,,
2024,181156644,11,1,,
2024,181156645,3,1,,
2024,181156645,64,1,,
2024,181156646,17,4000,2024-02-07,
2024,181156646,36,1,2024-02-07,
2024,181156646,47,0,2024-02-07,
2024,181156647,17,4000,,
2024,181156647,36,1,,
2024,181156647,47,0,,
2024,181156648,35,4500,,
2024,181156648,57,1,,
2024,181156651,16,21000,,
2024,181156652,57,150,,
2024,181156653,8,10,,
2024,181156653,19,5,,
2024,181156655,29,500,,
2024,181156656,51,0,,
2024,181156656,61,1,,
2024,181156657,8,24,,
2024,181156659,63,200,,
2024,181156660,63,400,,
2024,183824120,10,,,
2024,181156661,29,500,,
2024,181156663,10,,,
2024,181156664,10,,,
2024,181156665,36,4000,,
2024,181156666,9,0,,
2024,181156666,25,1,,
2024,181156667,19,229,,
2024,181156668,3,1,,
2024,181156669,10,,,
2024,181156669,11,1,,
2024,181156670,57,50,,
2024,181156670,64,15000,,
2024,181156671,3,1,2024-02-08,
2024,181156672,16,299,,
2024,181156673,3,1,2024-02-08,
2024,181156674,3,1,2024-02-08,
2024,181156675,63,800,,
2024,181156676,3,1,2024-02-08,
2024,181156677,3,1,2024-02-09,
2024,181156678,10,,,
2024,181156679,3,1,,
