data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,12,182635139,58.300,1,17487899
2024,8,182635139,84.500,1,17487900
2024,4,182635166,29.400,1,17487901
2024,12,182635172,1.000,1,17487902
2024,8,182635176,20.000,9,17487903
2024,12,182635176,15.000,1,17487904
2024,16,182635176,2.000,9,17487905
2024,2,182635177,2.300,1,17487906
2024,5,182635180,1.108,3,17487907
2024,8,183824392,240.000,9,17671966
2024,8,183824392,100.700,1,17671967
2024,8,182635202,16.000,9,17487908
2024,12,182635202,0.100,1,17487909
2024,8,182635204,11.000,9,17487910
2024,12,182635205,31.000,1,17487911
2024,8,183824445,6.000,9,17671969
2024,8,183824488,12.000,9,17671975
2024,12,183824492,0.900,1,17671977
2024,5,183824503,1.800,1,17671978
2024,12,183824509,2.050,3,17671979
2024,8,183824538,2.000,9,17671980
2024,4,186528688,1.250,1,18086970
2024,12,183824553,3.100,3,17671981
2024,8,183824553,3.000,9,17671982
2024,8,183824569,7.000,9,17671984
2024,8,183824588,52.000,9,17671985
2024,8,183824690,1.000,9,17671988
2024,8,183824699,2.000,9,17671989
2024,8,183824703,17.300,1,17671990
2024,12,183824703,2.500,1,17671991
2024,8,183824703,5.000,9,17671992
2024,12,183824711,14.000,1,17671994
2024,12,183824752,4.720,1,17671998
2024,7,183824759,1.000,9,17671999
2024,12,183824792,2.500,1,17672002
2024,8,183824799,8.000,9,17672003
2024,12,183824802,1.000,9,17672004
2024,8,183824802,1.000,9,17672005
2024,8,185267344,1.000,9,17901998
2024,8,183824894,15.000,9,17672009
2024,8,183824964,6.000,9,17672012
2024,8,183824985,5.600,1,17672013
2024,8,183825018,75.000,9,17672014
2024,12,183825018,8.000,9,17672015
2024,12,183825032,2.500,1,17672016
2024,12,183825078,2.680,1,17672018
2024,8,183825135,24.000,9,17672023
2024,12,185267347,6.400,1,17901999
2024,12,183825195,3.900,3,17672027
2024,11,183825201,4.000,9,17672028
2024,8,183825280,24.000,9,17672031
2024,12,183825280,1.000,9,17672032
2024,12,183825291,2.400,1,17672034
2024,8,183825360,4.000,9,17672035
2024,8,183825370,10.000,9,17672036
2024,8,183825379,2.000,9,17672037
2024,8,183825430,60.200,1,17672040
2024,5,183825455,14.000,3,17672042
2024,8,193207434,5.000,9,19071493
2024,8,183825522,27.000,9,17672050
2024,8,185267362,1.000,9,17902000
2024,12,183825623,1.000,1,17672053
2024,8,183825623,10.000,9,17672054
2024,8,183825832,19.000,9,17672063
2024,8,183825836,17.250,9,17672064
2024,8,186528690,1.000,9,18086971
2024,12,185267375,36.000,9,17902001
2024,12,185267375,2.400,1,17902002
2024,8,183825875,1.000,9,17672067
2024,8,183825880,13.000,9,17672068
2024,16,183825880,11.000,9,17672069
2024,8,185267388,2.000,9,17902003
2024,12,185267389,1.000,9,17902004
2024,8,185267393,2.000,9,17902005
2024,8,185267400,5.000,9,17902006
2024,8,185267401,6.000,9,17902007
2024,8,186528694,1.000,9,18086972
2024,8,185267407,127.000,9,17902008
2024,8,187879970,1.000,9,18292457
2024,8,185267421,3.000,9,17902009
2024,8,185267422,1.000,9,17902010
2024,8,185267423,32.000,9,17902011
2024,8,185267426,4.000,9,17902012
2024,12,185267427,15.600,1,17902013
2024,1,185267427,1.800,1,17902014
2024,8,185267427,5.300,1,17902015
2024,12,185267431,0.400,1,17902016
2024,8,186528696,3.000,9,18086973
2024,8,185267446,1.000,9,17902017
2024,8,186528701,1.000,9,18086974
2024,8,185267462,49.000,9,17902018
2024,12,185267484,2.000,1,17902019
2024,8,185267492,3.000,9,17902020
2024,8,187879975,3.500,9,18292458
2024,8,185267504,70.000,1,17902021
2024,12,185267521,30.000,1,17902022
2024,8,185267523,20.000,9,17902023
2024,2,185267523,3.000,9,17902024
2024,8,185267525,1.000,9,17902025
2024,8,185267534,184.000,9,17902026
2024,8,185267536,6.000,1,17902027
2024,8,185267549,1.000,9,17902028
2024,5,185267549,6.800,1,17902029
2024,12,185267559,1.600,1,17902030
2024,12,185267576,1.000,9,17902031
2024,8,185267588,2.000,9,17902032
2024,12,185267592,5.000,1,17902033
2024,8,185267592,4.000,9,17902034
2024,12,185267596,0.070,1,17902035
2024,8,185267606,3.000,9,17902036
2024,8,185267613,4.000,9,17902037
2024,8,187879987,1.000,9,18292459
2024,8,185267614,59.400,1,17902038
2024,12,185267614,19.800,1,17902039
2024,8,185267614,29.000,9,17902040
2024,8,185267633,33.000,9,17902041
2024,8,185267647,6.000,9,17902042
2024,8,185267651,5.000,9,17902043
2024,12,185267651,0.500,1,17902044
2024,12,185267653,0.800,1,17902045
2024,12,185267654,16.000,1,17902046
