state_abbr,state_name,county_name,latitude,longitude,Population_2024,Arrests_2024,Violent_Crimes_2024,Property_Crimes_2024,Arrest_Rate,Violent_Crime_Rate,Property_Crime_Rate
VA,Virginia,NELSON,37.906072,-78.7049765,14808.0,196,22,162.0,1323.6088600756348,148.56834143706106,1094.0032414910859
VA,Virginia,NEW KENT,37.502909,-76.982857,27434.0,780,45,160.0,2843.187285849676,164.03003572209667,583.217904789677
VA,Virginia,NEWPORT NEWS CITY,37.02934,-76.45062,183563.0,6505,1371,4500.0,3543.7424753354435,746.8825416886846,2451.474425674019
VA,Virginia,NORFOLK CITY,36.923015,-76.244641,230460.0,8623,1104,8756.0,3741.6471405016055,479.0419161676647,3799.3578061268768
VA,Virginia,NORTHAMPTON,37.29377425,-75.946681,12051.0,155,26,56.0,1286.2003153265289,215.7497303128371,464.6917268276492
VA,Virginia,NORTHUMBERLAND,37.856974,-76.379687,12599.0,134,15,79.0,1063.576474323359,119.05706802127153,627.0338915786967
VA,Virginia,NORTON CITY,36.931549,-82.625996,3458.0,448,9,357.0,12955.465587044535,260.26604973973394,10323.886639676113
VA,Virginia,NOT SPECIFIED,37.42933512068966,-77.87736994827586,0.0,8272,206,1191.0,inf,inf,inf
VA,Virginia,NOTTOWAY,37.137343,-78.0557952,15659.0,267,42,170.0,1705.0897247589246,268.2163611980331,1085.6376524682291
VA,Virginia,ORANGE,38.24842425,-78.03291375,39634.0,368,96,212.0,928.495735984256,242.2162789524146,534.8942826865822
VA,Virginia,PAGE,38.6475304,-78.4770594,23942.0,470,24,162.0,1963.0774371397545,100.24225210926406,676.6352017375324
VA,Virginia,PATRICK,36.667327,-80.286141,17617.0,602,45,182.0,3417.153885451552,255.4350911051825,1033.093035136516
VA,Virginia,PETERSBURG CITY,37.20473,-77.392368,33538.0,1468,359,994.0,4377.124455841135,1070.4275746913947,2963.802254159461
VA,Virginia,PITTSYLVANIA,36.821721,-79.398502,59767.0,894,72,363.0,1495.8087238777252,120.46781668813894,607.3585758027006
VA,Virginia,POQUOSON CITY,37.132324,-76.38017,12788.0,194,41,89.0,1517.0472317797937,320.61307475758525,695.9649671567095
VA,Virginia,PORTSMOUTH CITY,36.85943,-76.356269,97156.0,1947,731,3780.0,2003.9935773395364,752.3982049487422,3890.650088517436
VA,Virginia,POWHATAN,37.5298155,-77.8395275,32930.0,340,43,179.0,1032.493167324628,130.58001822046768,543.5772851503189
VA,Virginia,PRINCE EDWARD,37.250455666666674,-78.420068,15315.0,151,51,119.0,985.9614756774405,333.0068560235064,777.0159973881815
