,county,state,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Female,Male,Total population
775,Umatilla County,Oregon,0.055999999999999994,0.066,0.071,0.076,0.059000000000000004,0.146,0.141,0.109,0.067,0.045,0.095,0.053,0.017,0.478,0.522,80491.0
776,Union County,New Jersey,0.06,0.062,0.071,0.064,0.062,0.126,0.142,0.132,0.068,0.057,0.09,0.049,0.017,0.505,0.495,594160.0
777,Union County,North Carolina,0.054000000000000006,0.064,0.08,0.081,0.063,0.11,0.136,0.145,0.065,0.062,0.084,0.044000000000000004,0.013000000000000001,0.505,0.495,263386.0
778,Union County,Ohio,0.059000000000000004,0.07200000000000001,0.059000000000000004,0.061,0.05,0.13,0.161,0.136,0.068,0.065,0.086,0.04,0.013000000000000001,0.513,0.48700000000000004,71721.0
779,Utah County,Utah,0.081,0.08199999999999999,0.087,0.096,0.125,0.161,0.122,0.098,0.036000000000000004,0.03,0.049,0.023,0.009000000000000001,0.49200000000000005,0.508,747234.0
780,Valencia County,New Mexico,0.049,0.05,0.084,0.077,0.054000000000000006,0.126,0.124,0.11699999999999999,0.054000000000000006,0.071,0.11,0.066,0.018000000000000002,0.499,0.501,80813.0
781,Van Buren County,Michigan,0.055,0.07400000000000001,0.054000000000000006,0.055999999999999994,0.048,0.128,0.131,0.10800000000000001,0.059000000000000004,0.075,0.134,0.06,0.017,0.5,0.5,76129.0
782,Van Zandt County,Texas,0.057,0.054000000000000006,0.077,0.073,0.071,0.05,0.147,0.12,0.057,0.075,0.128,0.07400000000000001,0.018000000000000002,0.509,0.491,65304.0
783,Vanderburgh County,Indiana,0.059000000000000004,0.063,0.054000000000000006,0.065,0.069,0.138,0.134,0.107,0.052000000000000005,0.068,0.115,0.055999999999999994,0.019,0.509,0.491,180387.0
784,Ventura County,California,0.052000000000000005,0.055,0.063,0.066,0.064,0.128,0.133,0.124,0.063,0.067,0.106,0.059000000000000004,0.02,0.503,0.49700000000000005,835427.0
785,Vermilion County,Illinois,0.048,0.069,0.065,0.071,0.052000000000000005,0.11699999999999999,0.121,0.11599999999999999,0.065,0.069,0.11599999999999999,0.07,0.022000000000000002,0.486,0.514,71106.0
786,Victoria County,Texas,0.061,0.066,0.069,0.068,0.066,0.133,0.133,0.11199999999999999,0.057999999999999996,0.052000000000000005,0.109,0.055,0.017,0.49200000000000005,0.508,91949.0
787,Vigo County,Indiana,0.051,0.055,0.064,0.07200000000000001,0.10099999999999999,0.133,0.11900000000000001,0.114,0.059000000000000004,0.055,0.10099999999999999,0.061,0.015,0.499,0.501,106166.0
